id_venta,medicamento_id,nombre_medicamento,cantidad_vendida,precio_unitario,precio_total,fecha_hora,empleado,receta
V_34,M_34,Potasio 99mg,3,9.5,28.5,2026-04-21 12:55:30,carlos,
V_35,M_35,Ácido Acetilsalicílico 500mg,2,9.0,18.0,2026-04-21 13:20:15,luis_rodriguez,
V_36,M_36,Codeína 30mg,1,14.0,14.0,2026-04-21 13:45:45,diego_hernandez,Receta Dr. Martínez
V_37,M_37,Tramadol 50mg,1,16.5,16.5,2026-04-21 14:10:20,pedro_garcia,Receta Dr. Rodríguez
V_38,M_38,Morfina 10mg,1,20.0,20.0,2026-04-21 14:35:30,carlos,Receta Hospital Central
V_39,M_39,Gabapentina 300mg,2,17.5,35.0,2026-04-21 15:00:15,luis_rodriguez,
V_40,M_40,Pregabalina 150mg,1,19.0,19.0,2026-04-21 15:25:45,diego_hernandez,Receta Dr. Pérez
V_41,M_41,Levotiroxina 75mcg,3,14.5,43.5,2026-04-21 15:50:20,pedro_garcia,
V_42,M_42,Hidroclorotiazida 25mg,2,12.5,25.0,2026-04-21 16:15:30,carlos,
V_43,M_43,Furosemida 40mg,1,13.5,13.5,2026-04-21 16:40:15,luis_rodriguez,
V_44,M_44,Enalapril 10mg,2,15.5,31.0,2026-04-21 17:05:45,diego_hernandez,
V_45,M_45,Propranolol 40mg,1,14.5,14.5,2026-04-21 17:30:20,pedro_garcia,
V_46,M_46,Verapamilo 80mg,3,16.5,49.5,2026-04-21 17:55:30,carlos,
V_47,M_47,Diltiazem 30mg,2,15.0,30.0,2026-04-22 08:20:15,luis_rodriguez,
V_48,M_48,Amlodipina 5mg,1,16.0,16.0,2026-04-22 08:45:45,diego_hernandez,
V_49,M_49,Enalapril 20mg,2,17.0,34.0,2026-04-22 09:10:20,pedro_garcia,
V_50,M_50,Clorpromazina 100mg,1,18.0,18.0,2026-04-22 09:35:30,carlos,
V_51,M_11,Fluconazol 150mg,1,110.0,110.0,2026-05-10 21:30:31,carlos,Receta Dr. Silva
V_52,M_15,Naproxeno 500mg,1,14.5,14.5,2026-05-10 21:30:31,carlos,
V_53,M_7,Metformina 500mg,1,14.0,14.0,2026-05-10 21:30:31,carlos,
V_54,M_3,Amoxicilina 500mg,1,28.0,28.0,2026-05-10 21:30:31,carlos,Receta Dr. González
V_55,M_1,Paracetamol 500mg,1,30.0,30.0,2026-05-17 21:21:12,carlos,
V_56,M_1,Paracetamol 500mg,1,30.0,30.0,2026-05-18 10:46:33,Andres,
V_57,M_3,Amoxicilina 500mg,1,28.0,28.0,2026-05-18 10:46:33,Andres,4000
V_58,M_12,Cetirizina 10mg,1,10.0,10.0,2026-05-18 10:46:33,Andres,
V_59,M_10,Simvastatina 20mg,1,18.5,18.5,2026-05-18 10:46:33,Andres,
